name,manufacturer,basePrice,size,gunType,dmg,alpha,fireRate,fireRange,projectileSpeed
Cloak," Ascension Astro (ASAS) ",14 650,1,,,,,,
CoverAll," Gorgon Defender Industries (GODI) ",33 700,2,,,,,,
Falco," Yorm (YORM) ",5 800,1,,,,,,
ForceWall," Gorgon Defender Industries (GODI) ",15 950,1,,,,,,
FR-66," Gorgon Defender Industries (GODI) ",18 450,1,,,,,,
FR-76," Gorgon Defender Industries (GODI) ",38 250,2,,,,,,
FR-86," Gorgon Defender Industries (GODI) ",136 400,3,,,,,,
FullBlock," Gorgon Defender Industries (GODI) ",52 350,3,,,,,,
FullStop," Gorgon Defender Industries (GODI) ",30 400,2,,,,,,
Glacis," Origin Jumpworks (ORIG) ",,4,,,,,,
GUARD," Seal Corporation (SECO) ",92 850,3,,,,,,
Guardian," Basilisk (BASL) ",19 900,1,,,,,,
Haltur," Yorm (YORM) ",36 700,2,,,,,,
HAVEN," Seal Corporation (SECO) ",74 600,3,,,,,,
HEX," Seal Corporation (SECO) ",10 750,1,,,,,,
INK," Seal Corporation (SECO) ",9 750,1,,,,,,
Jaghte," Yorm (YORM) ",9 900,1,,,,,,
Mirage," Ascension Astro (ASAS) ",28 600,1,,,,,,
Obscura," Ascension Astro (ASAS) ",36 200,2,,,,,,
Palisade," Basilisk (BASL) ",23 200,1,,,,,,
Parapet," Basilisk (BASL) ",169 550,3,,,,,,
PIN," Seal Corporation (SECO) ",3 100,0,,,,,,
Rampart," Basilisk (BASL) ",53 300,2,,,,,,
RPEL," Seal Corporation (SECO) ",22 400,2,,,,,,
SecureHyde," Gorgon Defender Industries (GODI) ",12 850,1,,,,,,
SecureScreen," Gorgon Defender Industries (GODI) ",85 450,3,,,,,,
SecureShield," Gorgon Defender Industries (GODI) ",27 700,2,,,,,,
Sheut," Ascension Astro (ASAS) ",44 850,2,,,,,,
Shimmer," Ascension Astro (ASAS) ",18 050,1,,,,,,
Shroud," Ascension Astro (ASAS) ",44 500,2,,,,,,
Steward," Basilisk (BASL) ",14 050,1,,,,,,
STOP," Seal Corporation (SECO) ",24 850,2,,,,,,
Stronghold," Basilisk (BASL) ",119 400,3,,,,,,
Sukoran," Banu (BANU) ",,2,,,,,,
Suldrath," Banu (BANU) ",,1,,,,,,
SureStop," Gorgon Defender Industries (GODI) ",97 350,3,,,,,,
Targa," Yorm (YORM) ",8 600,1,,,,,,
Trenta," Yorm (YORM) ",30 600,2,,,,,,
Umbra," Ascension Astro (ASAS) ",56 850,2,,,,,,
Veil," Ascension Astro (ASAS) ",22 400,1,,,,,,
Ward," Basilisk (BASL) ",98 000,3,,,,,,
WEB," Seal Corporation (SECO) ",10 750,1,,,,,,
Agni," Juno Starwerk (JUST) ",108 200,3,,,,,,
Aither," Roberts Space Industries (RSI) ",35 650,2,,,,,,
Allegro," ArcCorp (ARCC) ",,4,,,,,,
Atlas," Roberts Space Industries (RSI) ",17 900,1,,,,,,
Balandin," Wei-Tek (WETK) ",142 050,3,,,,,,
Beacon," Wei-Tek (WETK) ",37 850,1,,,,,,
Bolon," Juno Starwerk (JUST) ",33 250,2,,,,,,
Bolt," RAMP Corporation (RACO) ",53 700,2,,,,,,
Burst," ArcCorp (ARCC) ",13 100,1,,,,,,
Cascade," ArcCorp (ARCC) ",26 100,2,,,,,,
Colossus," Juno Starwerk (JUST) ",16 150,1,,,,,,
Crossfield," Wei-Tek (WETK) ",60 050,2,,,,,,
Drift," RAMP Corporation (RACO) ",21 500,1,,,,,,
Drifter," Tarsus (TARS) ",89 600,3,,,,,,
Echo," ArcCorp (ARCC) ",112 600,3,,,,,,
Eos," Roberts Space Industries (RSI) ",15 700,1,,,,,,
Erebos," Roberts Space Industries (RSI) ",126 000,3,,,,,,
Expedition," Tarsus (TARS) ",15 000,1,,,,,,
Fissure," ArcCorp (ARCC) ",99 700,3,,,,,,
Flash," ArcCorp (ARCC) ",27 650,2,,,,,,
Flood," ArcCorp (ARCC) ",12 450,1,,,,,,
FoxFire," Ace Astrogation (ACAS) ",29 150,1,,,,,,
Goliath," Juno Starwerk (JUST) ",14 200,1,,,,,,
Hemera," Roberts Space Industries (RSI) ",38 250,2,,,,,,
Huracan," Juno Starwerk (JUST) ",36 800,2,,,,,,
Hyperion," Roberts Space Industries (RSI) ",16 800,1,,,,,,
Impulse," ArcCorp (ARCC) ",89 200,3,,,,,,
Kama," Juno Starwerk (JUST) ",109 750,3,,,,,,
Khaos," Roberts Space Industries (RSI) ",33 100,2,,,,,,
LightFire," Ace Astrogation (ACAS) ",26 450,1,,,,,,
Metis," Roberts Space Industries (RSI) ",130 050,3,,,,,,
Nova," RAMP Corporation (RACO) ",43 850,2,,,,,,
Odyssey," Tarsus (TARS) ",31 450,2,,,,,,
Pontes," Wei-Tek (WETK) ",117 850,3,,,,,,
Quest," Tarsus (TARS) ",29 550,2,,,,,,
Ranger," Tarsus (TARS) ",101 700,3,,,,,,
Rush," ArcCorp (ARCC) ",12 800,1,,,,,,
Siren," Wei-Tek (WETK) ",48 550,1,,,,,,
Sojourn," Tarsus (TARS) ",32 850,2,,,,,,
SparkFire," Ace Astrogation (ACAS) ",56 100,2,,,,,,
Spectre," RAMP Corporation (RACO) ",36 150,1,,,,,,
Spicule," RAMP Corporation (RACO) ",63 200,2,,,,,,
SunFire," Ace Astrogation (ACAS) ",57 950,2,,,,,,
Torrent," ArcCorp (ARCC) ",26 900,2,,,,,,
TS-2," Wei-Tek (WETK) ",93 700,3,,,,,,
Tyche," Roberts Space Industries (RSI) ",133 000,3,,,,,,
Vesta," Juno Starwerk (JUST) ",106 600,3,,,,,,
VK-00," Wei-Tek (WETK) ",43 300,1,,,,,,
Voyage," Tarsus (TARS) ",15 600,1,,,,,,
Vulcan," Juno Starwerk (JUST) ",13 900,1,,,,,,
Wanderer," Tarsus (TARS) ",111 950,3,,,,,,
Wayfare," Tarsus (TARS) ",14 100,1,,,,,,
XL-1," Wei-Tek (WETK) ",94 900,2,,,,,,
Yaluk," Juno Starwerk (JUST) ",30 000,2,,,,,,
Yeager," Wei-Tek (WETK) ",74 350,2,,,,,,
Zephyr," RAMP Corporation (RACO) ",30 250,1,,,,,,
Bolide," Aegis Dynamics (AEGS) ",43 200,2,,,,,,
Breton," Juno Starwerk (JUST) ",52 600,1,,,,,,
Celestial," Sakura Sun (SASU) ",100 500,3,,,,,,
Centurion," Aegis Dynamics (AEGS) ",120 150,3,,,,,,
Charger," Aegis Dynamics (AEGS) ",12 700,1,,,,,,
Cirrus," Tyler Design & Tech (TYDT) ",44 800,2,,,,,,
DayBreak," Sakura Sun (SASU) ",41 250,2,,,,,,
Defiant," Juno Starwerk (JUST) ",7 400,0,,,,,,
DeltaMax," Tyler Design & Tech (TYDT) ",15 700,1,,,,,,
Diligence," Juno Starwerk (JUST) ",74 150,2,,,,,,
Drassik," Aegis Dynamics (AEGS) ",113 600,3,,,,,,
DuraJet," Lightning Power Ltd. (LPLT) ",4 000,0,,,,,,
Durango," Juno Starwerk (JUST) ",430 350,3,,,,,,
DynaFlux," Amon & Reese Co. (AMRS) ",17 150,1,,,,,,
Eclipse," Tyler Design & Tech (TYDT) ",74 550,2,,,,,,
Endurance," Juno Starwerk (JUST) ",32 150,1,,,,,,
ExoGen," Amon & Reese Co. (AMRS) ",37 250,2,,,,,,
Fierell Cascade," Aegis Dynamics (AEGS) ",17 900,1,,,,,,
Fortitude," Juno Starwerk (JUST) ",30 950,1,,,,,,
Fulgur," Aegis Dynamics (AEGS) ",130 850,3,,,,,,
FullForce," Lightning Power Ltd. (LPLT) ",33 600,2,,,,,,
FullForce Pro," Lightning Power Ltd. (LPLT) ",88 400,3,,,,,,
GammaMax," Tyler Design & Tech (TYDT) ",59 050,2,,,,,,
Genoa," Juno Starwerk (JUST) ",150 600,2,,,,,,
Ginzel," Juno Starwerk (JUST) ",206 600,3,,,,,,
HyperGen," Amon & Reese Co. (AMRS) ",19 800,1,,,,,,
IonBurst," Lightning Power Ltd. (LPLT) ",17 000,1,,,,,,
IonSurge," Lightning Power Ltd. (LPLT) ",34 850,2,,,,,,
IonSurge Pro," Lightning Power Ltd. (LPLT) ",98 650,3,,,,,,
IonWave," Lightning Power Ltd. (LPLT) ",4 000,0,,,,,,
Jennet," Juno Starwerk (JUST) ",7 400,0,,,,,,
JS-300," Amon & Reese Co. (AMRS) ",19 700,1,,,,,,
JS-400," Amon & Reese Co. (AMRS) ",53 150,2,,,,,,
JS-500," Amon & Reese Co. (AMRS) ",139 750,3,,,,,,
LightBlossom," Sakura Sun (SASU) ",15 450,1,,,,,,
Lotus," Sakura Sun (SASU) ",44 650,2,,,,,,
LumaCore," ACOM (ACOM) ",6 100,1,,,,,,
LuxCore," ACOM (ACOM) ",23 050,2,,,,,,
Maelstrom," Aegis Dynamics (AEGS) ",43 250,2,,,,,,
MagnaBloom," Sakura Sun (SASU) ",16 400,1,,,,,,
Main Powerplant," Aegis Dynamics (AEGS) ",,4,,,,,,
MegaFlux," Amon & Reese Co. (AMRS) ",124 150,3,,,,,,
NewDawn," Sakura Sun (SASU) ",80 100,3,,,,,,
OverDrive," Amon & Reese Co. (AMRS) ",15 300,1,,,,,,
PowerBolt," Lightning Power Ltd. (LPLT) ",18 400,1,,,,,,
QuadraCell," Aegis Dynamics (AEGS) ",20 300,1,,,,,,
QuadraCell MT," Aegis Dynamics (AEGS) ",56 850,2,,,,,,
QuadraCell MX," Aegis Dynamics (AEGS) ",148 250,3,,,,,,
Radiance," Sakura Sun (SASU) ",42 250,2,,,,,,
Radix," Lightning Power Ltd. (LPLT) ",4 000,0,,,,,,
Regulus," Aegis Dynamics (AEGS) ",13 600,1,,,,,,
Reliance," Juno Starwerk (JUST) ",,3,,,,,,
Roughneck," Juno Starwerk (JUST) ",23 450,1,,,,,,
Sedulity," Juno Starwerk (JUST) ",102 650,2,,,,,,
Slipstream," Tyler Design & Tech (TYDT) ",18 600,1,,,,,,
SmartGen," Amon & Reese Co. (AMRS) ",109 600,3,,,,,,
SolarFlare," ACOM (ACOM) ",11 550,2,,,,,,
SonicLite," Tyler Design & Tech (TYDT) ",17 650,1,,,,,,
SparkJet," Lightning Power Ltd. (LPLT) ",29 750,2,,,,,,
SparkJet Pro," Lightning Power Ltd. (LPLT) ",66 800,3,,,,,,
StarBurn," ACOM (ACOM) ",17 900,2,,,,,,
StarHeart," ACOM (ACOM) ",4 150,1,,,,,,
Steadfast," Juno Starwerk (JUST) ",7 400,0,,,,,,
Stellate," Sakura Sun (ROO) ",,4,,,,,,
SunFlare," ACOM (ACOM) ",2 800,1,,,,,,
SuperDrive," Amon & Reese Co. (AMRS) ",114 750,3,,,,,,
TigerLilly," Sakura Sun (SASU) ",165 450,3,,,,,,
Trommel," Juno Starwerk (JUST) ",60 150,2,,,,,,
TurboDrive," Amon & Reese Co. (AMRS) ",39 500,2,,,,,,
UltraFlux," Amon & Reese Co. (AMRS) ",46 150,2,,,,,,
Vortex," Aegis Dynamics (AEGS) ",37 600,2,,,,,,
WhiteRose," Sakura Sun (SASU) ",16 850,1,,,,,,
ZapJet," Lightning Power Ltd. (LPLT) ",15 000,1,,,,,,
AbsoluteZero," ACOM (ACOM) ",43 450,2,,,,,,
Arctic," Aegis Dynamics (AEGS) ",44 900,2,,,,,,
ArcticStorm," Lightning Power Ltd. (LPLT) ",14 250,1,,,,,,
Aufeis," Wen/Cassel Propulsion (WCPR) ",38 500,2,,,,,,
Avalanche," Aegis Dynamics (AEGS) ",58 100,2,,,,,,
Berian," Wen/Cassel Propulsion (WCPR) ",13 950,1,,,,,,
BlastChill," Lightning Power Ltd. (LPLT) ",13 900,1,,,,,,
Blizzard," Aegis Dynamics (AEGS) ",146 250,3,,,,,,
Boreal," Aegis Dynamics (AEGS) ",42 750,2,,,,,,
Bracer," Aegis Dynamics (AEGS) ",16 400,1,,,,,,
Chill-Max," Juno Starwerk (JUST) ",287 250,3,,,,,,
ColdSnap," Lightning Power Ltd. (LPLT) ",37 750,2,,,,,,
ColdSurge," Lightning Power Ltd. (LPLT) ",98 100,3,,,,,,
CoolCore," Juno Starwerk (JUST) ",59 800,2,,,,,,
Cryo-Star," J-Span (JSPN) ",15 050,1,,,,,,
Cryo-Star EX," J-Span (JSPN) ",40 400,2,,,,,,
Cryo-Star SL," J-Span (JSPN) ",6 300,0,,,,,,
Cryo-Star XL," J-Span (JSPN) ",115 750,3,,,,,,
Draug," Wen/Cassel Propulsion (WCPR) ",,3,,,,,,
Eco-Flow," Juno Starwerk (JUST) ",22 800,1,,,,,,
Elsen," Aegis Dynamics (AEGS) ",,3,,,,,,
Endo," Wen/Cassel Propulsion (WCPR) ",14 300,1,,,,,,
FlashFreeze," Lightning Power Ltd. (LPLT) ",14 750,1,,,,,,
Fridan," Wen/Cassel Propulsion (WCPR) ",6 300,0,,,,,,
Frost-Star," J-Span (JSPN) ",14 700,1,,,,,,
Frost-Star EX," J-Span (JSPN) ",39 300,2,,,,,,
Frost-Star SL," J-Span (JSPN) ",6 300,0,,,,,,
Frost-Star XL," J-Span (JSPN) ",112 250,3,,,,,,
FrostBite," Lightning Power Ltd. (LPLT) ",110 850,3,,,,,,
FrostBurn," Lightning Power Ltd. (LPLT) ",104 950,3,,,,,,
FullFrost," Lightning Power Ltd. (LPLT) ",39 500,2,,,,,,
Galinstan," Aegis Dynamics (AEGS) ",118 000,3,,,,,,
Gelid," Wen/Cassel Propulsion (WCPR) ",14 500,1,,,,,,
Glacier," Aegis Dynamics (AEGS) ",19 300,1,,,,,,
Graupel," Wen/Cassel Propulsion (WCPR) ",36 750,2,,,,,,
HeatSafe," Tyler Design & Tech (TYDT) ",10 650,1,,,,,,
HeatSink," Tyler Design & Tech (TYDT) ",22 850,2,,,,,,
Hydrocel," Juno Starwerk (JUST) ",19 200,1,,,,,,
HydroJet," Juno Starwerk (JUST) ",52 750,2,,,,,,
Hydropulse," Juno Starwerk (JUST) ",156 500,3,,,,,,
Ice-Flush," Juno Starwerk (JUST) ",213 150,3,,,,,,
IceBox," Tyler Design & Tech (TYDT) ",28 650,2,,,,,,
IceDive," ACOM (ACOM) ",42 400,2,,,,,,
IcePlunge," ACOM (ACOM) ",15 800,1,,,,,,
Kelvid," Wen/Cassel Propulsion (WCPR) ",6 300,0,,,,,,
Kragen," Wen/Cassel Propulsion (WCPR) ",,3,,,,,,
Mercury," Aegis Dynamics (AEGS) ",122 500,3,,,,,,
NightFall," Tyler Design & Tech (TYDT) ",32 600,2,,,,,,
Permafrost," Aegis Dynamics (AEGS) ",49 650,2,,,,,,
Polar," Aegis Dynamics (AEGS) ",17 550,1,,,,,,
QuikCool," ACOM (ACOM) ",15 750,1,,,,,,
RapidCool," ACOM (ACOM) ",42 300,2,,,,,,
Serac," Wen/Cassel Propulsion (WCPR) ",,4,,,,,,
SnowBlind," Tyler Design & Tech (TYDT) ",12 850,1,,,,,,
Snowfall," Juno Starwerk (JUST) ",,2,,,,,,
Snowpack," Juno Starwerk (JUST) ",82 900,2,,,,,,
Taiga," Wen/Cassel Propulsion (WCPR) ",37 700,2,,,,,,
Tempest," Aegis Dynamics (AEGS) ",130 900,3,,,,,,
Tepilo," Wen/Cassel Propulsion (WCPR) ",6 300,0,,,,,,
ThermalCore," Juno Starwerk (JUST) ",176 300,3,,,,,,
Thermax," Juno Starwerk (JUST) ",20 500,1,,,,,,
Tundra," Aegis Dynamics (AEGS) ",15 750,1,,,,,,
Ultra-Flow," Juno Starwerk (JUST) ",27 550,1,,,,,,
VaporBlock," Tyler Design & Tech (TYDT) ",11 950,1,,,,,,
WhiteOut," Lightning Power Ltd. (LPLT) ",36 400,2,,,,,,
Winter-Star," J-Span (JSPN) ",14 200,1,,,,,,
Winter-Star EX," J-Span (JSPN) ",37 500,2,,,,,,
Winter-Star SL," J-Span (JSPN) ",6 300,0,,,,,,
Winter-Star XL," J-Span (JSPN) ",105 250,3,,,,,,
ZeroRush," ACOM (ACOM) ",16 150,1,,,,,,
